condition,seed,executionTime,extinct,finalPopulation,totalDeaths,totalBorn,finalTimestep,finalMeanWealth,finalSocietalWealth,finalGini,finalMeanTimeToLive
four_peak_utilitarian,72,0.0,False,917,70767,71434,5000,60.62,55586.06,0.26,18.06
four_peak_utilitarian,634,0.0,False,1117,61876,62743,5000,75.44,84268.68,0.349,18.9
four_peak_utilitarian,128,0.0,False,1439,102056,103245,5000,47.21,67929.25,0.144,17.84
four_peak_utilitarian,619,0.0,False,1435,109319,110504,5000,44.79,64277.8,0.16,17.11
four_peak_utilitarian,991,0.0,False,1023,77461,78234,5000,63.76,65230.27,0.223,19.38
four_peak_utilitarian,984,0.0,False,1375,101698,102823,5000,51.71,71102.25,0.169,18.9
four_peak_utilitarian,829,0.0,False,1468,105894,107112,5000,46.43,68152.58,0.166,17.46
four_peak_utilitarian,719,0.0,False,1471,105628,106849,5000,45.34,66694.73,0.155,17.24
four_peak_utilitarian,518,0.0,False,908,74971,75629,5000,59.32,53861.15,0.25,18.29
four_peak_utilitarian,687,0.0,False,1448,106727,107925,5000,45.51,65900.43,0.155,17.36
