condition,seed,executionTime,extinct,finalPopulation,totalDeaths,totalBorn,finalTimestep,finalMeanWealth,finalSocietalWealth,finalGini,finalMeanTimeToLive
four_peak_utilitarian,575,0.0,False,1364,103609,104723,5000,47.32,64548.19,0.174,17.24
four_peak_utilitarian,28,0.0,False,1485,109081,110316,5000,44.89,66663.3,0.166,16.88
four_peak_utilitarian,617,0.0,False,1453,102503,103706,5000,50.34,73143.86,0.159,18.74
four_peak_utilitarian,239,0.0,False,867,72680,73297,5000,68.3,59220.02,0.237,20.26
four_peak_utilitarian,224,0.0,False,1411,106125,107286,5000,51.38,72496.74,0.161,18.86
four_peak_utilitarian,96,0.0,False,1438,102090,103278,5000,48.8,70170.04,0.162,18.57
four_peak_utilitarian,31,0.0,False,1448,102572,103770,5000,46.09,66742.88,0.173,17.04
four_peak_utilitarian,33,0.0,False,1427,97604,98781,5000,53.19,75901.81,0.149,19.95
four_peak_utilitarian,433,0.0,False,1440,99936,101126,5000,49.92,71890.8,0.166,18.06
four_peak_utilitarian,605,0.0,False,1429,100933,102112,5000,45.38,64846.71,0.171,17.12
four_peak_utilitarian,90,0.0,False,1412,101411,102573,5000,51.47,72676.25,0.162,19.01
four_peak_utilitarian,559,0.0,False,1416,88539,89705,5000,52.07,73733.79,0.15,19.1
four_peak_utilitarian,914,0.0,False,1471,110208,111429,5000,43.2,63545.0,0.169,16.5
four_peak_utilitarian,759,0.0,False,1442,105518,106710,5000,47.36,68294.55,0.166,17.71
four_peak_utilitarian,693,0.0,False,1429,104658,105837,5000,49.72,71044.88,0.158,18.45
four_peak_utilitarian,105,0.0,False,1362,100272,101384,5000,55.61,75735.75,0.17,19.33
four_peak_utilitarian,755,0.0,False,1357,99025,100132,5000,52.72,71547.17,0.17,18.46
four_peak_utilitarian,143,0.0,False,1455,99875,101080,5000,49.59,72154.98,0.153,18.56
four_peak_utilitarian,229,0.0,False,1438,97494,98682,5000,45.18,64967.77,0.163,17.17
four_peak_utilitarian,251,0.0,False,1425,104870,106045,5000,48.36,68907.83,0.162,17.92
four_peak_utilitarian,282,0.0,False,1434,108927,110111,5000,47.62,68285.83,0.172,17.77
four_peak_utilitarian,760,0.0,False,1513,105395,106658,5000,39.9,60368.83,0.167,15.29
four_peak_utilitarian,26,0.0,False,1389,100026,101165,5000,53.01,73630.99,0.17,19.08
four_peak_utilitarian,115,0.0,False,1434,103687,104871,5000,52.09,74698.88,0.15,19.16
four_peak_utilitarian,655,0.0,False,1399,107645,108794,5000,57.31,80178.87,0.151,20.36
