condition,seed,executionTime,extinct,finalPopulation,totalDeaths,totalBorn,finalTimestep,finalMeanWealth,finalSocietalWealth,finalGini,finalMeanTimeToLive
four_peak_egoistic,719,0.0,True,0,316,66,183,0.0,0.0,0.0,0.0
four_peak_egoistic,666,0.0,True,0,286,36,211,0.0,0.0,0.0,0.0
four_peak_egoistic,734,0.0,True,0,279,29,213,0.0,0.0,0.0,0.0
four_peak_egoistic,204,0.0,True,0,303,53,281,0.0,0.0,0.0,0.0
four_peak_egoistic,575,0.0,True,0,279,29,198,0.0,0.0,0.0,0.0
four_peak_egoistic,28,0.0,False,1318,100992,102060,5000,52.95,69794.38,0.163,18.94
four_peak_egoistic,617,0.0,True,0,289,39,158,0.0,0.0,0.0,0.0
four_peak_egoistic,518,0.0,True,0,285,35,224,0.0,0.0,0.0,0.0
four_peak_egoistic,239,0.0,False,1306,96519,97575,5000,54.61,71327.01,0.172,19.51
four_peak_egoistic,224,0.0,True,0,260,10,149,0.0,0.0,0.0,0.0
four_peak_egoistic,96,0.0,True,0,259,9,134,0.0,0.0,0.0,0.0
four_peak_egoistic,31,0.0,False,956,64964,65670,5000,62.61,59855.19,0.268,17.23
four_peak_egoistic,33,0.0,True,0,291,41,145,0.0,0.0,0.0,0.0
four_peak_egoistic,433,0.0,True,0,273,23,168,0.0,0.0,0.0,0.0
four_peak_egoistic,605,0.0,True,0,306,56,256,0.0,0.0,0.0,0.0
four_peak_egoistic,90,0.0,False,1028,61827,62605,5000,70.35,72323.07,0.272,19.57
four_peak_egoistic,559,0.0,True,0,263,13,144,0.0,0.0,0.0,0.0
four_peak_egoistic,914,0.0,False,534,34906,35190,5000,83.18,44419.59,0.294,13.17
four_peak_egoistic,759,0.0,False,1119,60052,60921,5000,64.64,72335.05,0.258,19.51
four_peak_egoistic,693,0.0,False,1098,75551,76399,5000,62.11,68192.24,0.217,19.02
four_peak_egoistic,105,0.0,False,395,31435,31580,5000,104.01,41085.81,0.302,15.25
four_peak_egoistic,755,0.0,False,449,32083,32282,5000,88.07,39545.04,0.292,11.85
four_peak_egoistic,143,0.0,False,1172,88843,89765,5000,64.41,75485.76,0.194,20.68
four_peak_egoistic,229,0.0,True,0,264,14,146,0.0,0.0,0.0,0.0
four_peak_egoistic,251,0.0,False,380,16380,16510,5000,157.96,60022.99,0.464,16.75
four_peak_egoistic,282,0.0,False,1301,100102,101153,5000,56.89,74020.2,0.171,20.15
four_peak_egoistic,760,0.0,False,1252,82294,83296,5000,61.0,76366.68,0.16,20.47
four_peak_egoistic,26,0.0,False,1231,89785,90766,5000,61.32,75479.1,0.163,20.77
four_peak_egoistic,115,0.0,False,189,14648,14587,5000,84.06,15887.05,0.287,9.09
four_peak_egoistic,655,0.0,True,0,272,22,135,0.0,0.0,0.0,0.0
