condition,seed,executionTime,extinct,finalPopulation,totalDeaths,totalBorn,finalTimestep,finalMeanWealth,finalSocietalWealth,finalGini,finalMeanTimeToLive
four_peak_altruistic,605,0.0,False,295,13917,13962,5000,175.95,51905.43,0.475,17.16
four_peak_altruistic,90,0.0,False,407,30207,30364,5000,106.01,43146.1,0.259,15.68
four_peak_altruistic,559,0.0,True,0,268,18,178,0.0,0.0,0.0,0.0
four_peak_altruistic,914,0.0,False,383,21183,21316,5000,125.53,48077.25,0.379,16.86
four_peak_altruistic,759,0.0,False,1047,50704,51501,5000,83.28,87197.08,0.326,21.13
four_peak_altruistic,693,0.0,True,0,301,51,287,0.0,0.0,0.0,0.0
four_peak_altruistic,105,0.0,True,0,283,33,172,0.0,0.0,0.0,0.0
four_peak_altruistic,755,0.0,True,0,267,17,185,0.0,0.0,0.0,0.0
four_peak_altruistic,143,0.0,False,1032,79629,80411,5000,61.94,63926.55,0.192,18.9
four_peak_altruistic,229,0.0,True,0,291,41,153,0.0,0.0,0.0,0.0
four_peak_altruistic,251,0.0,False,1166,92205,93121,5000,53.55,62437.33,0.188,17.84
four_peak_altruistic,282,0.0,True,0,270,20,191,0.0,0.0,0.0,0.0
four_peak_altruistic,760,0.0,True,0,304,54,236,0.0,0.0,0.0,0.0
four_peak_altruistic,26,0.0,True,0,280,30,178,0.0,0.0,0.0,0.0
four_peak_altruistic,115,0.0,False,961,55478,56189,5000,78.97,75888.07,0.259,21.81
four_peak_altruistic,655,0.0,False,266,20127,20143,5000,89.04,23685.36,0.218,15.16
